Code,GCD,PLD,LCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Unitcell_volume,Density,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Number of channels,Min dimension of channel,Max dimension of channel,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_dev thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,Range liquid_range,Mean liquid_range,Std_dev liquid_range,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
267,7.82239,4.33496,7.82239,4.33496,3.05445,1.79316,7.82239,7.82239,7.82239,1582.16,1.5065,215.174,0.136,0.0902757,0,0,0,1,2,2,276.685,1748.78,1160.82,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.24137931,0.413793103,0.172413793,0.103448276,0.034482759,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
268,7.94101,3.66655,7.4773,3.66655,2.38484,1.97181,7.4773,6.94311,7.94101,3159.73,1.50463,389.279,0.1232,0.0818807,0,0,0,1,1,1,506.228,1602.12,1064.8,0.601123,1.90245,1.2644,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.029411765,0.235294118,0.205882353,0.191176471,0.088235294,0.176470588,0.044117647,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
269,11.26983,9.89966,11.22109,9.89966,4.64692,1.71023,11.22109,10.57793,10.85454,3733.77,1.26793,1116.77,0.2991,0.235897,0,0,0,1,2,2,608.401,1629.46,1285.13,0,0,0,4,14,10,9.770833333,4.183300133,1.52,2.1,0.58,1.696041667,0.384037193,77,101,24,95.39583333,11.71468421,4.85,17.36,12.51,15.40020833,4.314299473,0.02658,235,234.97342,52.62188667,110.1321674,90.2,3173,3082.8,1100.883333,2088.806926,54.8,1687,1632.2,580.5222917,1095.816313,35.4,1858.53,1823.13,520.3610417,1005.909491,0.028571429,0.228571429,0.328571429,0.185714286,0.128571429,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
270,6.49622,3.85158,6.4868,3.85158,3.24028,3.24707,6.4868,6.4868,6.49622,728.765,1.64286,103.193,0.1416,0.086191,0,0,0,1,3,3,153.923,2112.11,1285.63,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.45,0,0.1,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
271,5.06867,3.30345,5.06867,2.49897,3.30345,2.083,5.06867,5.06867,5.06867,942.103,1.69445,48.8952,0.0519,0.0306294,0,0,0,1,1,1,132.061,1401.77,827.268,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.206896552,0.172413793,0.275862069,0.24137931,0.103448276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
272,7.76664,6.44874,7.72178,6.44874,6.35585,1.29503,7.72178,7.70737,7.06089,2134.09,1.4812,574.07,0.269,0.181609,0,0,0,1,2,2,394.784,1849.89,1248.91,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.220338983,0.169491525,0.372881356,0.220338983,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,5.73834,3.54639,5.73834,1.81326,3.54639,1.93577,5.73834,5.73834,5.45394,988.847,1.61435,91.8639,0.0929,0.0575463,0,0,0,1,1,1,161.697,1635.21,1012.92,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.25,0.208333333,0.125,0.083333333,0.208333333,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
274,10.39948,7.68974,10.39948,7.68974,2.75807,1.62255,10.39948,10.36707,10.39948,2416.16,1.45276,534.937,0.2214,0.152399,0,0,0,1,1,1,372.253,1540.68,1060.52,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.016949153,0.186440678,0.203389831,0.355932203,0.101694915,0.13559322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
275,4.53548,3.13857,4.53548,3.13857,2.48548,1.70956,4.53548,4.53548,4.53548,673.351,1.77807,18.1131,0.0269,0.0151288,0.875356,0.0013,0.000731131,1,1,1,67.3647,1000.44,562.656,10.4669,155.446,87.424,8,14,6,9.875,3.783937343,1.52,2.1,0.58,1.680833333,0.338864826,80,101,21,95.04166667,12.12161567,10,17.36,7.36,15.33583333,4.143828,0.02658,235,234.97342,60.64272,126.2412155,90.2,3173,3082.8,1070.175,1972.588904,54.8,1687,1632.2,504.6754167,951.0799633,35.4,1858.53,1823.13,565.4995833,1074.112826,0,0.277777778,0.166666667,0.222222222,0.222222222,0,0.055555556,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
276,7.50382,6.29179,7.50382,6.19691,6.29179,2.50757,7.50382,7.50382,7.1324,1556.74,1.28181,462.039,0.2968,0.231548,0,0,0,1,2,2,320.066,2056.01,1603.99,0,0,0,8,14,6,9.854166667,3.783564778,1.52,2.1,0.58,1.678819444,0.338397748,80,101,21,95.09722222,12.14177294,10,17.36,7.36,15.35423611,4.151573117,0.02658,235,234.97342,60.12197896,126.528884,90.2,3173,3082.8,1059.470833,1972.766141,54.8,1687,1632.2,499.0080556,949.7124834,35.4,1858.53,1823.13,560.4627778,1075.723498,0,0.264705882,0.441176471,0.088235294,0.088235294,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
277,6.30297,4.35702,5.91843,4.23627,4.35702,1.78675,6.30297,5.91843,5.68724,832.65,1.39572,146.047,0.1754,0.12567,0,0,0,1,2,2,192.202,2308.31,1653.85,0,0,0,8,14,6,9.916666667,4.242640687,1.52,2.1,0.58,1.705277778,0.410121933,85,101,16,95.88888889,11.3137085,12.06,17.36,5.3,15.66694444,3.74766594,0.02658,150,149.97342,47.93475583,106.0472223,90.2,3173,3082.8,1074.983333,2179.868785,54.8,1687,1632.2,576.1972222,1154.139688,35.4,1486,1450.6,498.7861111,1025.729097,0.038461538,0.230769231,0.230769231,0.115384615,0.153846154,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,9.34088,8.51262,9.34088,8.51262,2.26768,8.37216,9.34088,9.33798,9.33798,2769.04,1.29712,1089.89,0.3936,0.30344,0.553807,0.0002,0.000154187,1,2,2,451.008,1628.75,1255.67,3.63048,13.111,10.1077,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.342857143,0.057142857,0.185714286,0.057142857,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
279,8.50782,5.09327,8.49792,5.09327,3.07358,1.4941,8.49792,8.50782,8.18929,1617.69,1.48021,280.67,0.1735,0.117213,0,0,0,1,2,2,270.367,1671.31,1129.1,0.425439,2.62991,1.77672,4,14,10,9.925925926,4.251613581,1.52,2.1,0.58,1.708009259,0.407196331,77,101,24,95.7037037,11.38375888,4.85,17.36,12.51,15.58449074,3.8760642,0.02658,190,189.97342,49.5085838,106.1629841,90.2,3173,3082.8,1101.532407,2168.657547,54.8,1687,1632.2,590.7222222,1149.047402,35.4,1486,1450.6,510.8101852,1019.707852,0.025,0.2,0.25,0.2,0.125,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
280,10.23056,9.55244,10.17685,9.55244,1.72099,8.71251,10.17685,10.18032,10.23056,3652.65,1.29442,1194.42,0.327,0.252624,0,0,0,1,2,2,579.742,1587.18,1226.18,0,0,0,4,14,10,9.916666667,4.215162825,1.52,2.1,0.58,1.705520833,0.403265046,77,101,24,95.71527778,11.40152682,4.85,17.36,12.51,15.59079861,3.864275394,0.02658,235,234.97342,49.70540458,107.3902978,90.2,3173,3082.8,1092.249306,2155.540679,54.8,1687,1632.2,581.858125,1137.182953,35.4,1858.53,1823.13,510.3911806,1022.774638,0.012048193,0.180722892,0.228915663,0.361445783,0.156626506,0.060240964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
281,6.68766,6.19836,6.68379,6.19836,4.42914,1.10696,6.68379,6.68766,6.56979,685.238,1.15679,166.376,0.2428,0.209892,0,0,0,1,2,2,176.057,2569.28,2221.05,0,0,0,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1823.13,581.0216667,1101.790261,0,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
282,6.23414,5.08132,6.23414,5.08132,1.87647,1.38699,6.23414,6.04776,6.23414,985.867,1.61923,129.642,0.1315,0.0812113,0,0,0,1,1,1,177.143,1796.83,1109.68,0.509007,5.16304,3.18857,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1823.13,581.0216667,1101.790261,0.105263158,0.105263158,0.368421053,0.368421053,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
283,5.22188,3.1853,5.22188,2.82694,3.1853,3.1853,5.0443,5.22188,5.22188,604.9,1.6501,45.428,0.0751,0.0455125,0,0,0,1,3,3,124.975,2066.04,1252.07,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.37037037,0,0,0,0.62962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
284,9.27619,6.94848,9.11465,6.94848,1.61739,1.52245,9.11465,7.24148,9.27619,4457.78,1.59627,869.267,0.195,0.12216,0,0,0,1,1,1,583.58,1309.13,820.114,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.008064516,0.153225806,0.225806452,0.241935484,0.25,0.072580645,0.048387097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
285,5.68872,4.54598,5.43642,4.54598,1.79413,2.06828,5.43642,5.26902,5.68872,1221,1.62376,107.448,0.088,0.0541952,0,0,0,1,1,1,177.092,1450.39,893.229,0,0,0,8,14,6,9.822916667,3.810235832,1.52,2.1,0.58,1.6775,0.342842441,80,101,21,95.26041667,12.09225352,10,17.36,7.36,15.4125,4.128307257,0.02658,235,234.97342,58.19508021,125.413034,90.2,3173,3082.8,1042.03125,1984.615895,54.8,1687,1632.2,495.5226042,962.4076267,35.4,1858.53,1823.13,546.5086458,1072.595683,0,0.142857143,0.357142857,0.321428571,0.107142857,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
286,10.12961,8.38107,10.11549,8.38107,5.12933,1.64731,10.11549,10.12032,9.30399,3517.06,1.35384,953.475,0.2711,0.200245,1.40682,0.0004,0.000295455,1,2,2,596.354,1695.6,1252.44,6.28092,17.8584,13.1909,4,14,10,9.885416667,4.212666893,1.52,2.1,0.58,1.7046875,0.396857947,77,101,24,95.53125,11.51500351,4.85,17.36,12.51,15.49677083,4.048339207,0.02658,235,234.97342,51.31980333,108.1053922,90.2,3173,3082.8,1109.341667,2132.088069,54.8,1687,1632.2,589.6944792,1123.834436,35.4,1858.53,1823.13,519.6471875,1014.872649,0.013157895,0.25,0.342105263,0.184210526,0.157894737,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
287,7.2436,5.60008,7.2436,5.60008,3.18515,1.44031,7.2436,7.22882,7.2436,980.319,1.6284,171.752,0.1752,0.10759,0,0,0,1,2,2,182.529,1861.94,1143.42,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.15,0.55,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
288,10.17852,9.238,10.17852,9.238,2.85439,3.32742,10.17852,9.7782,10.17852,2366.27,1.34926,692.133,0.2925,0.216786,0,0,0,1,3,3,415.162,1754.5,1300.35,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.057692308,0.192307692,0.25,0.173076923,0.192307692,0.134615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
289,6.05772,4.78628,6.02697,4.78628,3.62708,2.97718,6.02697,6.03921,6.03921,736.55,1.34463,112.398,0.1526,0.113489,0,0,0,1,3,3,170.847,2319.56,1725.06,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.214285714,0.142857143,0.214285714,0.142857143,0,0.142857143,0.071428571,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
290,4.8416,3.92604,4.81696,3.92604,3.92604,3.0582,4.81696,4.81605,4.81605,832.128,1.4388,109.175,0.1312,0.0911873,0,0,0,1,3,3,220.783,2653.23,1844.07,0,0,0,4,14,10,9.708333333,3.90356938,1.52,2.1,0.58,1.676145833,0.342353136,77,101,24,95.09722222,12.15809636,4.85,17.36,12.51,15.28628472,4.434480341,0.02658,235,234.97342,58.45531229,122.4771568,90.2,3173,3082.8,1062.571528,1976.078292,54.8,1687,1632.2,517.7345833,978.3305948,35.4,1858.53,1823.13,544.8369444,1044.120666,0,0.409090909,0.181818182,0,0,0.090909091,0,0.318181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
291,4.36836,3.59856,4.36836,3.59856,2.06696,1.97754,4.36836,4.36836,4.36836,401.42,1.48215,22.6,0.0563,0.0379854,0,0,0,1,1,1,79.9104,1990.69,1343.11,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
292,6.04415,4.56718,5.68689,4.56718,4.12344,1.164,5.68689,5.80848,4.52852,773.072,1.2811,136.293,0.1763,0.137616,0,0,0,1,2,2,202.122,2614.54,2040.85,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.444444444,0.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
293,8.11886,6.31649,7.49396,6.31649,1.96564,5.17669,7.49396,8.11474,8.11474,2628.01,1.36673,606.281,0.2307,0.168797,0,0,0,1,2,2,495.448,1885.26,1379.39,0.639108,2.43191,1.77936,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.04,0.34,0.28,0.2,0.06,0.04,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
294,8.65591,7.70712,8.23501,7.70712,7.68354,1.38101,8.23501,8.60251,7.9844,2443.88,1.30166,856.09,0.3503,0.269118,0,0,0,1,2,2,386.23,1580.4,1214.14,0,0,0,8,14,6,9.9,3.852777103,1.52,2.1,0.58,1.687333333,0.351659286,80,101,21,95.16666667,11.92216461,10,17.36,7.36,15.38733333,4.056136516,0.02658,235,234.97342,58.51772,122.3206899,90.2,3173,3082.8,1079.7,2002.003291,54.8,1687,1632.2,523.5136667,987.7282913,35.4,1858.53,1823.13,556.1863333,1060.325423,0.017857143,0.178571429,0.267857143,0.214285714,0.25,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
295,6.4112,5.83938,6.4112,5.83938,1.91554,1.91554,6.4112,6.4112,6.4112,1368.04,1.75033,152.263,0.1113,0.0635878,0,0,0,1,1,1,220.79,1613.91,922.061,0,0,0,8,14,6,9.958333333,4.242640687,1.52,2.1,0.58,1.709305556,0.410121933,85,101,16,95.77777778,11.3137085,12.06,17.36,5.3,15.63013889,3.74766594,0.02658,150,149.97342,48.97623792,106.0472223,90.2,3173,3082.8,1096.391667,2179.868785,54.8,1687,1632.2,587.5319444,1154.139688,35.4,1486,1450.6,508.8597222,1025.729097,0,0.137254902,0.235294118,0.333333333,0,0.196078431,0,0.078431373,0,0.019607843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
296,7.53166,5.94385,7.53166,5.94385,3.92749,1.92018,7.53166,7.25286,7.25286,1176.83,1.52604,213.242,0.1812,0.118739,0,0,0,1,2,2,224.706,1909.42,1251.22,0,0,0,8,14,6,9.972222222,4.112750384,1.52,2.1,0.58,1.706111111,0.392255292,80,101,21,95.52777778,11.45319105,10,17.36,7.36,15.53611111,3.827927214,0.02658,235,234.97342,52.37883111,110.8078442,90.2,3173,3082.8,1107.216667,2119.25212,54.8,1687,1632.2,577.9352778,1103.424004,35.4,1858.53,1823.13,529.2813889,1031.945667,0.08,0.2,0.16,0.36,0.16,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
297,12.87444,10.31618,12.87444,10.02453,10.31618,1.59636,12.87444,12.87444,12.87444,4738.69,0.996613,2187.38,0.4616,0.463169,0.947738,0.0002,0.00020068,1,2,2,711.358,1501.17,1506.27,3.19269,6.7375,6.7604,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.235294118,0.164705882,0.294117647,0.164705882,0.141176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
298,6.01051,5.50221,6.01051,5.50221,3.24017,1.33394,6.01051,5.97825,5.74039,865.354,1.37508,133.265,0.154,0.111994,0,0,0,1,2,2,184.171,2128.28,1547.75,0,0,0,8,14,6,9.854166667,3.733630941,1.52,2.1,0.58,1.675416667,0.328474207,80,101,21,94.9375,12.30365799,10,17.36,7.36,15.29291667,4.221194679,0.02658,235,234.97342,62.41355333,129.5493208,90.2,3173,3082.8,1062.2375,1951.885606,54.8,1687,1632.2,488.976875,921.2315278,35.4,1858.53,1823.13,573.260625,1087.196693,0,0.235294118,0.411764706,0.176470588,0.117647059,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
299,10.94303,7.41864,10.64908,7.41864,6.03687,1.72191,10.64908,10.92911,10.65204,3531.09,1.34587,998.238,0.2827,0.21005,0,0,0,1,2,2,567.327,1606.66,1193.77,1.68181,4.76288,3.53889,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.013157895,0.25,0.223684211,0.263157895,0.223684211,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
300,9.95291,6.75217,9.60229,6.75217,4.81277,1.80081,9.60229,8.63716,9.76341,3196.46,1.49823,723.999,0.2265,0.151178,0,0,0,1,2,2,504.025,1576.82,1052.45,0.0151943,0.0475346,0.0317271,8,14,6,9.861111111,3.749716192,1.52,2.1,0.58,1.677222222,0.331917219,80,101,21,94.97222222,12.24131714,10,17.36,7.36,15.30722222,4.194939824,0.02658,235,234.97342,61.82327556,128.4404939,90.2,3173,3082.8,1064.883333,1958.415043,54.8,1687,1632.2,494.2097222,931.1312459,35.4,1858.53,1823.13,570.6736111,1082.670983,0,0.16,0.333333333,0.293333333,0.213333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
301,7.09541,3.89405,7.08827,3.89405,1.96146,1.96146,7.08827,6.98428,7.09095,733.75,1.6317,90.1779,0.1229,0.0753201,0.14675,0.0002,0.000122571,1,1,1,119.824,1633.03,1000.82,2.08066,28.3566,17.3785,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.3125,0.25,0.25,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
302,8.87288,8.25333,8.84206,8.25333,7.2478,1.43388,8.84206,8.87288,8.32569,1249.94,1.27714,417.981,0.3344,0.261836,0.124994,0.0001,7.83E-05,1,2,2,197.062,1576.57,1234.45,0.958188,7.66585,6.00237,8,14,6,9.854166667,3.733630941,1.52,2.1,0.58,1.675416667,0.328474207,80,101,21,94.9375,12.30365799,10,17.36,7.36,15.29291667,4.221194679,0.02658,235,234.97342,62.41355333,129.5493208,90.2,3173,3082.8,1062.2375,1951.885606,54.8,1687,1632.2,488.976875,921.2315278,35.4,1858.53,1823.13,573.260625,1087.196693,0,0.25,0.178571429,0.214285714,0.285714286,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
